index,alpha,beta,gamma,u,v,RMSE
88,1.0,0.001,0.001,1000.0,1.0,0.3358711898326874
89,1.0,0.001,0.001,1000.0,1000.0,0.35603854060173035
90,1.0,0.001,1.0,0.001,0.001,0.38021087646484375
91,1.0,0.001,1.0,0.001,1.0,nan
92,1.0,0.001,1.0,0.001,1000.0,nan
93,1.0,0.001,1.0,1.0,0.001,0.3517090380191803
94,1.0,0.001,1.0,1.0,1.0,0.3788437247276306
95,1.0,0.001,1.0,1.0,1000.0,0.37091806530952454
96,1.0,0.001,1.0,1000.0,0.001,0.345069020986557
97,1.0,0.001,1.0,1000.0,1.0,0.36098936200141907
98,1.0,0.001,1.0,1000.0,1000.0,0.3508914113044739
99,1.0,0.001,1000.0,0.001,0.001,0.3707914352416992
100,1.0,0.001,1000.0,0.001,1.0,0.35491618514060974
101,1.0,0.001,1000.0,0.001,1000.0,nan
102,1.0,0.001,1000.0,1.0,0.001,0.35597318410873413
103,1.0,0.001,1000.0,1.0,1.0,0.37602490186691284
104,1.0,0.001,1000.0,1.0,1000.0,0.3587939143180847
105,1.0,0.001,1000.0,1000.0,0.001,0.4017750918865204
106,1.0,0.001,1000.0,1000.0,1.0,0.3980569839477539
107,1.0,0.001,1000.0,1000.0,1000.0,0.4069477617740631
108,1.0,1.0,0.001,0.001,0.001,0.29671117663383484
109,1.0,1.0,0.001,0.001,1.0,0.35499435663223267
110,1.0,1.0,0.001,0.001,1000.0,0.3726791441440582
111,1.0,1.0,0.001,1.0,0.001,0.3493097722530365
112,1.0,1.0,0.001,1.0,1.0,0.41306453943252563
113,1.0,1.0,0.001,1.0,1000.0,0.35667696595191956
114,1.0,1.0,0.001,1000.0,0.001,0.3591168522834778
115,1.0,1.0,0.001,1000.0,1.0,0.3994182050228119
116,1.0,1.0,0.001,1000.0,1000.0,0.3822679817676544
117,1.0,1.0,1.0,0.001,0.001,0.33349546790122986
118,1.0,1.0,1.0,0.001,1.0,0.2800457179546356
119,1.0,1.0,1.0,0.001,1000.0,0.3651037812232971
120,1.0,1.0,1.0,1.0,0.001,0.41313478350639343
121,1.0,1.0,1.0,1.0,1.0,0.35571175813674927
122,1.0,1.0,1.0,1.0,1000.0,nan
123,1.0,1.0,1.0,1000.0,0.001,0.33193475008010864
124,1.0,1.0,1.0,1000.0,1.0,0.3722281754016876
125,1.0,1.0,1.0,1000.0,1000.0,0.38533052802085876
126,1.0,1.0,1000.0,0.001,0.001,0.32064002752304077
127,1.0,1.0,1000.0,0.001,1.0,0.38694560527801514
128,1.0,1.0,1000.0,0.001,1000.0,0.3801383674144745
129,1.0,1.0,1000.0,1.0,0.001,0.39594539999961853
130,1.0,1.0,1000.0,1.0,1.0,0.40163344144821167
131,1.0,1.0,1000.0,1.0,1000.0,nan
132,1.0,1.0,1000.0,1000.0,0.001,0.3617728650569916
133,1.0,1.0,1000.0,1000.0,1.0,0.41060808300971985
134,1.0,1.0,1000.0,1000.0,1000.0,0.3598088324069977
135,1.0,1000.0,0.001,0.001,0.001,0.3230449855327606
136,1.0,1000.0,0.001,0.001,1.0,nan
137,1.0,1000.0,0.001,0.001,1000.0,nan
138,1.0,1000.0,0.001,1.0,0.001,0.4254801571369171
139,1.0,1000.0,0.001,1.0,1.0,0.39767205715179443
140,1.0,1000.0,0.001,1.0,1000.0,0.30564892292022705
141,1.0,1000.0,0.001,1000.0,0.001,0.37643498182296753
142,1.0,1000.0,0.001,1000.0,1.0,0.47291281819343567
143,1.0,1000.0,0.001,1000.0,1000.0,0.3822285830974579
144,1.0,1000.0,1.0,0.001,0.001,0.36918964982032776
145,1.0,1000.0,1.0,0.001,1.0,0.3791278600692749
146,1.0,1000.0,1.0,0.001,1000.0,nan
147,1.0,1000.0,1.0,1.0,0.001,0.4217848777770996
148,1.0,1000.0,1.0,1.0,1.0,0.3623493015766144
149,1.0,1000.0,1.0,1.0,1000.0,0.3637614846229553
150,1.0,1000.0,1.0,1000.0,0.001,0.4320424199104309
151,1.0,1000.0,1.0,1000.0,1.0,0.430964857339859
152,1.0,1000.0,1.0,1000.0,1000.0,0.3663143813610077
153,1.0,1000.0,1000.0,0.001,0.001,0.33427920937538147
154,1.0,1000.0,1000.0,0.001,1.0,0.3638836741447449
155,1.0,1000.0,1000.0,0.001,1000.0,0.3757445514202118
156,1.0,1000.0,1000.0,1.0,0.001,0.41951680183410645
157,1.0,1000.0,1000.0,1.0,1.0,0.3846137821674347
158,1.0,1000.0,1000.0,1.0,1000.0,0.3884188234806061
159,1.0,1000.0,1000.0,1000.0,0.001,0.4015122652053833
160,1.0,1000.0,1000.0,1000.0,1.0,0.47015389800071716
161,1.0,1000.0,1000.0,1000.0,1000.0,0.34733349084854126
162,1000.0,0.001,0.001,0.001,0.001,0.4334617555141449
163,1000.0,0.001,0.001,0.001,1.0,0.34687376022338867
164,1000.0,0.001,0.001,0.001,1000.0,nan
165,1000.0,0.001,0.001,1.0,0.001,0.3560851216316223
166,1000.0,0.001,0.001,1.0,1.0,0.3494540750980377
167,1000.0,0.001,0.001,1.0,1000.0,nan
168,1000.0,0.001,0.001,1000.0,0.001,0.3695656955242157
169,1000.0,0.001,0.001,1000.0,1.0,0.3480748236179352
170,1000.0,0.001,0.001,1000.0,1000.0,0.3676062822341919
171,1000.0,0.001,1.0,0.001,0.001,0.370619535446167
172,1000.0,0.001,1.0,0.001,1.0,0.36826613545417786
173,1000.0,0.001,1.0,0.001,1000.0,0.31641674041748047
174,1000.0,0.001,1.0,1.0,0.001,0.3962761163711548
175,1000.0,0.001,1.0,1.0,1.0,0.36499902606010437
176,1000.0,0.001,1.0,1.0,1000.0,0.3368413746356964
177,1000.0,0.001,1.0,1000.0,0.001,0.39080366492271423
178,1000.0,0.001,1.0,1000.0,1.0,0.3418616056442261
179,1000.0,0.001,1.0,1000.0,1000.0,0.32629701495170593
180,1000.0,0.001,1000.0,0.001,0.001,0.37538692355155945
181,1000.0,0.001,1000.0,0.001,1.0,0.35276472568511963
182,1000.0,0.001,1000.0,0.001,1000.0,nan
183,1000.0,0.001,1000.0,1.0,0.001,0.301519513130188
184,1000.0,0.001,1000.0,1.0,1.0,0.39276978373527527
185,1000.0,0.001,1000.0,1.0,1000.0,nan
186,1000.0,0.001,1000.0,1000.0,0.001,0.3022768795490265
187,1000.0,0.001,1000.0,1000.0,1.0,0.359759658575058
188,1000.0,0.001,1000.0,1000.0,1000.0,0.3806062936782837
189,1000.0,1.0,0.001,0.001,0.001,0.3579072058200836
190,1000.0,1.0,0.001,0.001,1.0,0.3567606508731842
191,1000.0,1.0,0.001,0.001,1000.0,0.35007229447364807
192,1000.0,1.0,0.001,1.0,0.001,0.39092743396759033
193,1000.0,1.0,0.001,1.0,1.0,nan
194,1000.0,1.0,0.001,1.0,1000.0,0.3583182990550995
195,1000.0,1.0,0.001,1000.0,0.001,0.4049917757511139
196,1000.0,1.0,0.001,1000.0,1.0,0.35780149698257446
197,1000.0,1.0,0.001,1000.0,1000.0,0.3589629828929901
198,1000.0,1.0,1.0,0.001,0.001,0.35450848937034607
199,1000.0,1.0,1.0,0.001,1.0,nan
200,1000.0,1.0,1.0,0.001,1000.0,nan
201,1000.0,1.0,1.0,1.0,0.001,0.3769834339618683
202,1000.0,1.0,1.0,1.0,1.0,0.4050997495651245
203,1000.0,1.0,1.0,1.0,1000.0,nan
204,1000.0,1.0,1.0,1000.0,0.001,0.42581480741500854
205,1000.0,1.0,1.0,1000.0,1.0,0.411259263753891
206,1000.0,1.0,1.0,1000.0,1000.0,0.3993038535118103
207,1000.0,1.0,1000.0,0.001,0.001,0.4160674214363098
208,1000.0,1.0,1000.0,0.001,1.0,0.3980694115161896
209,1000.0,1.0,1000.0,0.001,1000.0,nan
210,1000.0,1.0,1000.0,1.0,0.001,0.35559287667274475
211,1000.0,1.0,1000.0,1.0,1.0,0.34125596284866333
212,1000.0,1.0,1000.0,1.0,1000.0,0.3256957530975342
213,1000.0,1.0,1000.0,1000.0,0.001,0.3913465440273285
214,1000.0,1.0,1000.0,1000.0,1.0,0.3761252462863922
215,1000.0,1.0,1000.0,1000.0,1000.0,0.3906555473804474
216,1000.0,1000.0,0.001,0.001,0.001,0.38209500908851624
217,1000.0,1000.0,0.001,0.001,1.0,0.3739606440067291
218,1000.0,1000.0,0.001,0.001,1000.0,nan
219,1000.0,1000.0,0.001,1.0,0.001,0.31846505403518677
220,1000.0,1000.0,0.001,1.0,1.0,0.3987046182155609
221,1000.0,1000.0,0.001,1.0,1000.0,0.36749789118766785
222,1000.0,1000.0,0.001,1000.0,0.001,0.38479241728782654
223,1000.0,1000.0,0.001,1000.0,1.0,0.4376170039176941
224,1000.0,1000.0,0.001,1000.0,1000.0,0.36405783891677856
225,1000.0,1000.0,1.0,0.001,0.001,0.37450119853019714
226,1000.0,1000.0,1.0,0.001,1.0,0.36602598428726196
227,1000.0,1000.0,1.0,0.001,1000.0,0.39024606347084045
228,1000.0,1000.0,1.0,1.0,0.001,0.38156476616859436
229,1000.0,1000.0,1.0,1.0,1.0,0.38728228211402893
230,1000.0,1000.0,1.0,1.0,1000.0,0.35171055793762207
231,1000.0,1000.0,1.0,1000.0,0.001,0.2931457459926605
232,1000.0,1000.0,1.0,1000.0,1.0,0.33479103446006775
233,1000.0,1000.0,1.0,1000.0,1000.0,0.36416324973106384
234,1000.0,1000.0,1000.0,0.001,0.001,0.36183708906173706
235,1000.0,1000.0,1000.0,0.001,1.0,nan
236,1000.0,1000.0,1000.0,0.001,1000.0,0.33847007155418396
237,1000.0,1000.0,1000.0,1.0,0.001,0.33993688225746155
238,1000.0,1000.0,1000.0,1.0,1.0,0.37322574853897095
239,1000.0,1000.0,1000.0,1.0,1000.0,nan
240,1000.0,1000.0,1000.0,1000.0,0.001,0.3825479745864868
241,1000.0,1000.0,1000.0,1000.0,1.0,0.34990841150283813
242,1000.0,1000.0,1000.0,1000.0,1000.0,0.3754706084728241
