index,alpha,beta,gamma,u,v,RMSE
86,1.0,0.001,0.001,1.0,1000.0,0.2939578890800476
87,1.0,0.001,0.001,1000.0,0.001,0.3124847710132599
88,1.0,0.001,0.001,1000.0,1.0,0.3469690680503845
89,1.0,0.001,0.001,1000.0,1000.0,0.4035419821739197
90,1.0,0.001,1.0,0.001,0.001,0.357317715883255
91,1.0,0.001,1.0,0.001,1.0,0.39371052384376526
92,1.0,0.001,1.0,0.001,1000.0,0.38209962844848633
93,1.0,0.001,1.0,1.0,0.001,0.31563499569892883
94,1.0,0.001,1.0,1.0,1.0,0.3110378682613373
95,1.0,0.001,1.0,1.0,1000.0,0.36634981632232666
96,1.0,0.001,1.0,1000.0,0.001,0.3454779088497162
97,1.0,0.001,1.0,1000.0,1.0,0.3420368731021881
98,1.0,0.001,1.0,1000.0,1000.0,0.35341426730155945
99,1.0,0.001,1000.0,0.001,0.001,0.3387838304042816
100,1.0,0.001,1000.0,0.001,1.0,0.37351539731025696
101,1.0,0.001,1000.0,0.001,1000.0,0.30822643637657166
102,1.0,0.001,1000.0,1.0,0.001,0.33213263750076294
103,1.0,0.001,1000.0,1.0,1.0,0.35540348291397095
104,1.0,0.001,1000.0,1.0,1000.0,0.31697747111320496
105,1.0,0.001,1000.0,1000.0,0.001,0.31773248314857483
106,1.0,0.001,1000.0,1000.0,1.0,0.33906492590904236
107,1.0,0.001,1000.0,1000.0,1000.0,0.37669888138771057
108,1.0,1.0,0.001,0.001,0.001,0.3708663582801819
109,1.0,1.0,0.001,0.001,1.0,0.3187541365623474
110,1.0,1.0,0.001,0.001,1000.0,0.3778340816497803
111,1.0,1.0,0.001,1.0,0.001,0.3514142334461212
112,1.0,1.0,0.001,1.0,1.0,0.27834635972976685
113,1.0,1.0,0.001,1.0,1000.0,0.3639557957649231
114,1.0,1.0,0.001,1000.0,0.001,0.32077494263648987
115,1.0,1.0,0.001,1000.0,1.0,0.3393527567386627
116,1.0,1.0,0.001,1000.0,1000.0,0.35316339135169983
117,1.0,1.0,1.0,0.001,0.001,0.28678449988365173
118,1.0,1.0,1.0,0.001,1.0,0.3321530818939209
119,1.0,1.0,1.0,0.001,1000.0,0.359287291765213
120,1.0,1.0,1.0,1.0,0.001,0.3965337574481964
121,1.0,1.0,1.0,1.0,1.0,0.3511876165866852
122,1.0,1.0,1.0,1.0,1000.0,0.3709109127521515
123,1.0,1.0,1.0,1000.0,0.001,0.3196980655193329
124,1.0,1.0,1.0,1000.0,1.0,0.30580270290374756
125,1.0,1.0,1.0,1000.0,1000.0,0.4286445379257202
126,1.0,1.0,1000.0,0.001,0.001,0.32816657423973083
127,1.0,1.0,1000.0,0.001,1.0,0.3933852016925812
128,1.0,1.0,1000.0,0.001,1000.0,0.29162538051605225
129,1.0,1.0,1000.0,1.0,0.001,0.37330591678619385
130,1.0,1.0,1000.0,1.0,1.0,0.3633768856525421
131,1.0,1.0,1000.0,1.0,1000.0,0.3239649534225464
132,1.0,1.0,1000.0,1000.0,0.001,0.3461257815361023
133,1.0,1.0,1000.0,1000.0,1.0,0.3445933759212494
134,1.0,1.0,1000.0,1000.0,1000.0,0.34701070189476013
135,1.0,1000.0,0.001,0.001,0.001,0.3223792612552643
136,1.0,1000.0,0.001,0.001,1.0,0.315818190574646
137,1.0,1000.0,0.001,0.001,1000.0,0.3344147503376007
138,1.0,1000.0,0.001,1.0,0.001,0.3397471010684967
139,1.0,1000.0,0.001,1.0,1.0,0.38848137855529785
140,1.0,1000.0,0.001,1.0,1000.0,0.4022986590862274
141,1.0,1000.0,0.001,1000.0,0.001,0.324481725692749
142,1.0,1000.0,0.001,1000.0,1.0,0.34857791662216187
143,1.0,1000.0,0.001,1000.0,1000.0,0.3362089991569519
144,1.0,1000.0,1.0,0.001,0.001,0.32055890560150146
145,1.0,1000.0,1.0,0.001,1.0,0.2798035740852356
146,1.0,1000.0,1.0,0.001,1000.0,0.32682645320892334
147,1.0,1000.0,1.0,1.0,0.001,0.2873714566230774
148,1.0,1000.0,1.0,1.0,1.0,0.37278878688812256
149,1.0,1000.0,1.0,1.0,1000.0,0.3171249032020569
150,1.0,1000.0,1.0,1000.0,0.001,0.3410581350326538
151,1.0,1000.0,1.0,1000.0,1.0,0.32709506154060364
152,1.0,1000.0,1.0,1000.0,1000.0,0.31303349137306213
153,1.0,1000.0,1000.0,0.001,0.001,0.3465138077735901
154,1.0,1000.0,1000.0,0.001,1.0,0.254248708486557
155,1.0,1000.0,1000.0,0.001,1000.0,0.3741922080516815
156,1.0,1000.0,1000.0,1.0,0.001,0.34558528661727905
157,1.0,1000.0,1000.0,1.0,1.0,0.3244391083717346
158,1.0,1000.0,1000.0,1.0,1000.0,0.3574679493904114
